Id,cluster
DenunciaYaCol,
Majuld,
betoangel27,
YayoSabia,
juanyepes3,2.0
jmanuelsaenzdeb,
DonReacio,
GodieBarber,
PL_PatioBonito,
Angiegars,0.0
Nick_Rivers_19,
las2zorrillas,
LuisFdoBarrant1,
tuputhamadre1,
Mariocaicedo21,
londrespresente,
rmrestrepoa,
rbertieri,
johanmaruber,
adiosuribe,
HerbertMeLoz,
Marthayepes17,
LuisAlb98287285,
MateoRo96218932,
maracuya2002,
dianausaquencru,
gaado14,
Fuentes44188788,
Gustavovelezt,
ltmayt,
malbarracin,
Gelga57,
Ferji__,
MiltonAbogado10,
xabier80819664,
Nait_Magics,
untalgrek,
Carlos_Llanos94,0.0
GeralValenzuel3,
platorevolucion,
Adryadapa,
miltonmartinez2,
EdwardVr2,
snavarro161,
Phiare,
nicosuuno2012,
roberthm38,
herazod14,
ROSITAGUEVARA17,
JhonnyNicaragua,
carlos_franco78,
AldairTamara,
LordKoechel,
MONIKIT45782240,2.0
john_dresc,
oscaramontoya,
JavierV44090610,
gotaceite,
celisrod1,
verksdragmara,
MosqueraHerazo,
JorgRiv12,
LucasCastroBer1,
koralfields,
Ricardo__437,
CesarJerezM,
S0FIA69,
JuliethCol18,
MitterrandMoni,2.0
endocupacionove,
JuanitaJaramill,
koskita,
GiLopez23,
FelipeCasasPrie,
YoSerdelAlba,
Camilo_est93,
Son15Letras,
alekos871,0.0
claudialava,
1LineaContable,
RadioChecheres,
DEARMASPAO,
XBEASTTMODEX,
guidodevacas,
JLoboveja,
Motaro0729,
mistermagu72,
H_U_V_A,0.0
valdiviagm,
Pascualdelbosq1,
Alexand17594544,
PUNTODE42021167,
EdgarDuque75,
SinFiltroCO,0.0
maurici54093538,
JohanitaOS,
jersonfreyle,
wimeneg,
rubencho_78,2.0
gallot_julien,
OndrumsJona,
KiernosMichael,
rouzrem,
BrokovitchErin,
c_noredine,
TchukNice,
ArkhanSativa,
PTricheux,
ChrisClaudel,
alternoso,
DucheminMarc1,
MN02833424,
JUANCAELBROKY,0.0
Popochaporlavi1,0.0
Miguelpaloma666,
Soliloquio_07,
YoSoyMarGo,
yezidjorge6,
BoyauRouche,
le_adam4,
inihcnarf,
LEFEVRESylviane,
AiQuings,
RameauCatherine,
cindycolores,
DonGatoSucio,
SpeedWorldwide,
yakari95890564,
Fleur50559050,
FalconJohn2,
Naltboro,
klyde_chambina,
SimpleSauvage,
R_JDG,
KZnina,
lorenzomorales,
roi_olo,
TomtomWillow,
RumpelstilskinD,
ThibaultPnt_76,
jpplotus,
alitsp,
DakilaOne,
NathalieErbs,
Y_Punto_,
LucreceCc,
suelsue1,
vecumedia,0.0
SucelyAriza,
Patrici31920253,
albertocorreae2,
gatoesguitarra,
Maurocahe,
MarinAv85754121,
eduquimi1,
jsantosorellano,
oswaldoaves,
marinvieco,
luigui100,
JorgeAl48461880,
wilyredADC,
tatoalcuadrado,
LuzRoCorredor,
FdoGomez1,
renatodcts,
VELASQUEZAYDA2,
PATO73372911,
copisolero,
Adriano68129307,
Hugucha2,
umitakol,
ceresagecologia,
LuzARodriguezR,
acontrerascas,
JulietaRandR,
jjmunoz64,
DianaPiano10,
divabarto,
walcalamunoz,
GermanMedinaSc,
santaflauta,
Ricardo15438573,
CarlosA02910317,
DianeRo93125470,
laus213,
SalegSandra,
udsnoexisten,
arielgoamer,
HogarPeregrino,
baile_cantao,
viitOorrOck,
eristikvalexa,
jlmastras,
DavidSo7986,
MalvenSilva,
MartinUria_ok,
jprezbernal,
David29817641,
VictoriaSur,2.0
criordor,
javi_petersen,
NatividadLlanq3,
convencioncl,
TODXSCONJADUE,
JadueALaMoneda,
ElisaLoncon,
PrimeraLineaMed,
Patricio_Indo,
elgonzalors,
MiamiDadeFire,
tentos,
carlosdmesag,
FENCINAM,
polintoro2009,
ValeMelipillan,
TitoWanka,
Ben22BigBen,
HugoEHerrera,
ESPNFutbolChile,
ComandoBoric,
ADignidadCL,
ArtesaniaUC,
CarlosSapag,
lasillavacia,
ComisionVerdadC,
JosLaraEspinoz1,
anfibellasartes,
BNONoticias,
EamonGilmore,
EscudosAzules,
KremlinRussia_E,
Marco_Teruggi,
revistalengua,
PDI_CHILE,
Poder_Judicial_,
EpistemonikosEs,
AlondraCVidal,
redcomunitariat,
luisteluiste,
EnfrmraSaturada,
Justiciaypazcol,2.0
JaduePdte2021,
TaniaOpazoG,
twfeliz,
casa_memoria,
MemorialdePaine,
goncz76,
periferiaprensa,
ONPE_oficial,
maridelas18,
alonsovalenv,
KeikoFujimori,
LafaurieCabal,
SandraDerecha,
4NDRES3SCOBAR,
HeLeNaBuckartt,
luciabastidasu,0.0
DanielaFajardoD,
CarolBordaA,
monasterioR,
valeriacdgarcia,
marce84_,
charovargas_,
AlvaroUribeVel,
JennyAV7,
sagitariana2530,
marye171,
RTVCnoticias,
DirComNuevaEps,
zfpacifico,
MaGrepy,
marianagoyenec2,
JcolmenaresE,
LauraMedinaRuiz,
Libertariosed,
descubretusalud,
SoyAliciaFranco,
SaraVCardenas,
Eu_Naytiri,
Richie_Gomez,
Dona_Pily2,
cacique_elcc,
GUSMALDONADOS,
HappyCoffe13,
ANIABELLO_R,
JUSECALO,
dbor6,
AviancaEscucha,
RevocatoriaDQ,
YILEMRESTREPOGO,
adriana26156061,
Santiagodelalam,
MaCamila_Pinzon,
Vitonas_yatacue,
JhonAlbertoGon1,
PrincesasVerdeO,
FNAahorro,
totonia68,
JulianFMartinez,
IamLeviGabriel,
Andreaguzpa,
PadreHuerfano1,
manuchao,
canal2co,
FelipeSanchezfs,
MemoriaUN,
_iramir_,
EmilyOsment,
TheDoors,
sebaquiropa,
PorVeteranos,
euronewses,
ABC,
HRI_ONG,
chocquibtown,
caroramirezquin,
josemog_,
AquinoTicias1,
juanpisrules,
Betocoralg,
MetroyMedio2,
migueldelrioabg,
DanielaRiveraC8,
HoroscopoBrutal,
DanhizDP,
ariadnadm3,
IsriUjc,
Guerrerotony161,
cubana_mariposa,
BufaSubversiva,
naranjaveloz,
Danto_2,
aviles_ra,
Mision_Verdad,
nellinica,
StalinVladimirC,
Calixl_,
MHCP_NIC,
BilwiTeInforma,
Jahfrann1,
williamfer94,
naranja_cali,
CapitnColombia,
VillanueAle,
Hekatombe_,0.0
TembloresOng,
HOLLMANMORRIS,
PLineaJuridica,
washingtonpost,
UNHumanRights,
UN_HRC,
Jahfrann,
